comment,music_id
2022 and listening to this song….I love it,21
자존심 때문에 이 구절이... 너무 와닿는다....,21
이거 들으니까 현재 상황이랑 너무 잘 맞아서 의도하지도 않은눈물이 멈추지도 않고 흐르네요..,21
항상 듣지만 너무좋다....,21
love this,21
노래좋다,21
22년에도 여전히 지리는구나,21
이 노래 너무 좋아요~^^,21
원곡의 허스키한 긁는 목소리는 진짜 아무도 따라할수 없다ㅜㅜ 원곡 최고...,21
They were talking about this on Happy Together..and here I am! It's amazing how Korean tv/dramas spread the culture so fast ^^,21
여전히 듣기 좋다..,21
This is such a good song. I wish Yedam covers it fully.,21
I love this song to the point of death.,21
이건 원곡이 제일 좋음 ㅋㅋㅋㅋ 저 시대 감성이 어울리는 보이스임 ㅠㅠ,21
I love the song,21
노래 넘 좋아요...,21
원래 이노래는 목소리가 쉬어있는게 포인트이자 멋임ㄹㅇ,21
노래가 너무 듣기 좋아요 이노래 들을 때마다 눈물이 나네요,21
20201년에도 이 노래듣는데 진짜 노래 좋다~,21
이 곡은 무난한 듯 한데 진짜 노래방차트에서 빠지질 않더라,21
"Classic song :) ''my lovely girl Chun hyang"" oh yeah and this is the kind of song I hear and I remember it from years ago so I just wanna belt it out",21
갑자기 누워있다가 생각나서 찾아봤는데 노래 짱 좋다,21
멜로디만 들어도 어떤 노래인지 알수있다,21
너무좋다,21
한 번 들은 사람은 많아도 한 번 씩은 다들 부른노래.ㄹㅈㄷ몇년이 지났는데 노래방 차트 상위권 ..명곡,21
이 노래 너무 좋아,21
"임윤찬 피아니스트가 좋아하는 곡~♡분명 들어봤던 곡인데, 너무 오래 잊고지낸 곡이네요. 명곡이네요. 앞으로 자주 들으러 올 것 같아요~ (가사보며 들으니 더 좋아요~)",21
질리도록 듣던 노래인데 이별하고나서 들으니 또 새롭네,21
이 좋은 노래를 이제야 알다니....,21
이 노래 너무 좋아요! 좋아요 누르고 갑니다!!!,21
노래가 너무 좋아,21
진짜 촌스럽지 않다..지금 들어도 ㅠㅠ,21
참 좋은 노래야~ 얼마나 들어도 좋드아아아,21
정말좋다,21
항상 내게 너무 잘해줘서 할때 '서' 부분 목소리 너무 좋다,21
진짜 좋당,21
"In a TV program I saw Jackson Wang singing this song for the first time, and I kept repeating this song. I love it.",21
정말 노래 잘 부른다 정말 이분처럼 노래 잘 부르고 싶다 아주,21
약간 가래낀듯한 허스키보이스~~~진짜 쵝오^^,21
2021년에 들어도 좋은 명곡,21
어릴땐 안 찾아들어도 노래방에서 너무 불러대서 싫어했는데 갑자기 생각나서 들음 너무 조아 아는 언니 집 놀러가면 꼭 보던 쾌걸춘향 생각나고,21
너무 좋아 ㅜㅜ,21
노래가 좋아요,21
친구하고 노래방가면 무조건 부르는 곡,21
노래방가면 꼭 부르는 노래,21
겨우겨우 찾다가 들어왔다... 진짜 너무 좋다,21
노래가 참 듣기 좋네요,21
학교 점심시간에 자주 나오는 노래이기도 하고 애들도 많이 따라 부르고 정확히 이 노래 제목을 알게된건 학원어떤 오빠가̆̈ 이 노래 부르길래 알게된건데 아 맨날 들리던 노래가̆̈ 응급실이구나̆̎ 라고 생각했는데 이 노래가̆̈ ost 라는거에 놀랐고 두번째론 엄청 오래된 노래라는 거에 정말 놀랐다 적어도 작년에 나온 노래인줄 알았다 예전노래인데 예전노래 같지도 않고 그래서 아직까지 인기가̆̈ 많은건가̆̈ 생각한다 이 노래가̆̈ 어떤 이유 때문에 인기가̆̈ 많아 진건지 모르지만 아시는 분들 알려주세요 !!,21
내가  좋아하는 노래♡,21
진짜 좋았었는데..,21
이별노랜데 왜이렇게 가사를 상큼하게꾸며놨냐,21
