music_id,ymd,price_high,price_low,price_close,pct_price_change,cnt_units_traded
21,2021-04-13,75700,72000,72000,1.4,59
21,2021-04-14,74900,70500,71800,-0.3,15
21,2021-04-15,71400,67500,68600,-4.5,49
21,2021-04-16,71900,68500,71900,4.8,51
21,2021-04-17,75800,68900,75800,5.4,121
21,2021-04-18,75500,70700,71900,-5.1,64
21,2021-04-19,73500,71800,72000,0.1,89
21,2021-04-20,73400,70400,73300,1.8,217
21,2021-04-21,76500,73300,75500,3.0,117
21,2021-04-22,76500,72000,72100,-4.5,74
21,2021-04-23,74900,72000,72200,0.1,15
21,2021-04-24,73000,71600,71600,-0.8,27
21,2021-04-25,73500,71400,73000,2.0,5
21,2021-04-26,74000,71300,73300,0.4,41
21,2021-04-27,71000,67500,70000,-4.5,29
21,2021-04-28,72000,67000,67000,-4.3,27
21,2021-04-29,71000,62400,65500,-2.2,21
21,2021-04-30,72400,65600,72400,10.5,53
21,2021-05-01,73200,70000,73100,1.0,36
21,2021-05-02,73300,70500,73300,0.3,13
21,2021-05-03,73600,65000,65000,-11.3,208
21,2021-05-04,72800,65700,72800,12.0,88
21,2021-05-05,72500,68000,70000,-3.8,15
21,2021-05-06,74200,68000,72900,4.1,137
21,2021-05-07,75800,69500,75800,4.0,156
21,2021-05-08,77500,70500,73200,-3.4,166
21,2021-05-09,72900,68400,72900,-0.4,34
21,2021-05-10,71900,69000,70200,-3.7,84
21,2021-05-11,72000,67100,68000,-3.1,43
21,2021-05-12,71500,68700,71500,5.1,12
21,2021-05-13,71600,68700,68700,-3.9,8
21,2021-05-14,70800,68800,68800,0.1,8
21,2021-05-15,70300,68800,68800,0.0,13
21,2021-05-16,69600,68900,68900,0.1,8
21,2021-05-17,69900,67100,69900,1.5,48
21,2021-05-18,69200,68000,69000,-1.3,47
21,2021-05-19,69000,68800,69000,0.0,11
21,2021-05-20,70000,68400,68700,-0.4,58
21,2021-05-21,69500,68700,69500,1.2,13
21,2021-05-22,69500,68900,68900,-0.9,9
21,2021-05-23,69500,67600,67600,-1.9,10
21,2021-05-24,69000,67600,68500,1.3,28
21,2021-05-25,69400,64300,69400,1.3,19
21,2021-05-26,68600,65000,68600,-1.2,25
21,2021-05-27,68000,65000,68000,-0.9,18
21,2021-05-28,68500,65600,68200,0.3,24
21,2021-05-29,68300,65000,65000,-4.7,12
21,2021-05-30,69200,67300,69200,6.5,16
21,2021-05-31,69200,69000,69200,0.0,5
21,2021-06-01,69300,66200,69000,-0.3,40
21,2021-06-02,69000,66700,68900,-0.1,21
21,2021-06-03,69500,67500,69500,0.9,14
21,2021-06-04,69700,69500,69600,0.1,9
21,2021-06-05,69600,68100,68100,-2.2,3
21,2021-06-06,69900,68000,69900,2.6,29
21,2021-06-07,70000,67900,67900,-2.9,16
21,2021-06-08,69400,67800,69200,1.9,17
21,2021-06-09,70000,68100,69900,1.0,14
21,2021-06-10,69900,69000,69000,-1.3,7
21,2021-06-11,69900,67000,67000,-2.9,19
21,2021-06-12,69700,66600,66600,-0.6,10
21,2021-06-13,69800,69500,69700,4.7,23
21,2021-06-14,69800,67800,67800,-2.7,19
21,2021-06-15,68800,67200,68800,1.5,4
21,2021-06-16,69500,66600,68000,-1.2,23
21,2021-06-17,68700,67200,68700,1.0,7
21,2021-06-18,69400,65900,66500,-3.2,37
21,2021-06-19,69400,67200,67200,1.1,3
21,2021-06-20,67900,66200,66200,-1.5,15
21,2021-06-21,68000,66400,66900,1.1,16
21,2021-06-22,69700,68700,68700,2.7,11
21,2021-06-23,69300,67300,69300,0.9,8
21,2021-06-24,68600,66100,66200,-4.5,13
21,2021-06-25,66800,66200,66400,0.3,9
21,2021-06-26,68700,66200,68700,3.5,13
21,2021-06-27,69200,68900,69200,0.7,8
21,2021-06-28,67500,67400,67400,-2.6,4
21,2021-06-29,67000,66100,66100,-1.9,5
21,2021-06-30,66800,64900,65000,-1.7,13
21,2021-07-01,66900,65100,66800,2.8,7
21,2021-07-02,69100,65200,65200,-2.4,50
21,2021-07-03,68400,65900,65900,1.1,4
21,2021-07-04,68400,65900,65900,0.0,0
21,2021-07-05,67500,64800,64900,-1.5,13
21,2021-07-06,68000,64700,64700,-0.3,16
21,2021-07-07,64600,64600,64600,-0.2,1
21,2021-07-08,66700,64000,66700,3.3,25
21,2021-07-09,66600,62100,66600,-0.1,2
21,2021-07-10,66200,62100,66200,-0.6,6
21,2021-07-11,66000,65900,66000,-0.3,2
21,2021-07-12,65800,65600,65600,-0.6,3
21,2021-07-13,66000,65900,65900,0.5,5
21,2021-07-14,66000,60400,65400,-0.8,22
21,2021-07-15,65300,61100,62000,-5.2,12
21,2021-07-16,65000,62100,65000,4.8,9
21,2021-07-17,65500,63200,65500,0.8,12
21,2021-07-18,65500,59800,65400,-0.2,22
21,2021-07-19,66000,63100,63100,-3.5,18
21,2021-07-20,63000,62500,63000,-0.2,14
21,2021-07-21,64200,62400,64200,1.9,7
21,2021-07-22,64100,63400,64100,-0.2,4
21,2021-07-23,63900,62100,63900,-0.3,4
21,2021-07-24,64600,63800,64600,1.1,6
21,2021-07-25,65900,64700,65900,2.0,4
21,2021-07-26,66100,63700,66000,0.2,13
21,2021-07-27,67000,66100,67000,1.5,11
21,2021-07-28,66600,65000,66600,-0.6,5
21,2021-07-29,67200,66700,67200,0.9,12
21,2021-07-30,67600,67200,67500,0.4,6
21,2021-07-31,67700,67000,67700,0.3,8
21,2021-08-01,68500,67600,68500,1.2,28
21,2021-08-02,68600,66900,67500,-1.5,22
21,2021-08-03,68000,66200,67900,0.6,18
21,2021-08-04,68700,66200,68600,1.0,20
21,2021-08-05,71000,66300,70500,2.8,91
21,2021-08-06,71400,70000,71200,1.0,22
21,2021-08-07,73300,71000,73200,2.8,84
21,2021-08-08,73700,71400,73700,0.7,46
21,2021-08-09,73600,69900,71300,-3.3,75
21,2021-08-10,71900,68700,71900,0.8,45
21,2021-08-11,75000,70100,74500,3.6,69
21,2021-08-12,75400,71100,75000,0.7,120
21,2021-08-13,75000,73100,74800,-0.3,83
21,2021-08-14,74900,73600,74000,-1.1,33
21,2021-08-15,77500,72400,77500,4.7,151
21,2021-08-16,80300,77500,79800,3.0,92
21,2021-08-17,80200,75900,78200,-2.0,84
21,2021-08-18,79200,76300,78000,-0.3,37
21,2021-08-19,79400,71000,71000,-9.0,135
21,2021-08-20,78500,72800,77700,9.4,48
21,2021-08-21,79500,76500,79000,1.7,88
21,2021-08-22,79600,77200,79600,0.8,59
21,2021-08-23,83000,79600,81700,2.6,104
21,2021-08-24,84000,80900,83900,2.7,65
21,2021-08-25,84000,75000,81900,-2.4,87
21,2021-08-26,83300,77000,83300,1.7,50
21,2021-08-27,90000,83300,89100,7.0,81
21,2021-08-28,95000,89000,94600,6.2,84
21,2021-08-29,99700,93200,98000,3.6,92
21,2021-08-30,100000,96900,100000,2.0,96
21,2021-08-31,114800,98400,110200,10.2,161
21,2021-09-01,136000,90300,108900,-1.2,532
21,2021-09-02,109500,92200,101000,-7.3,128
21,2021-09-03,105700,101600,105700,4.7,80
21,2021-09-04,105800,101500,104900,-0.8,92
21,2021-09-05,105500,99300,102500,-2.3,82
21,2021-09-06,104800,98100,98100,-4.3,73
21,2021-09-07,101700,98100,99900,1.8,81
21,2021-09-08,101000,85000,92900,-7.0,86
21,2021-09-09,99000,85000,98100,5.6,64
21,2021-09-10,98700,95600,98000,-0.1,14
21,2021-09-11,100300,96100,97000,-1.0,38
21,2021-09-12,99500,96100,99500,2.6,17
21,2021-09-13,99400,93600,98000,-1.5,33
21,2021-09-14,99300,94600,97000,-1.0,20
21,2021-09-15,95500,91800,91800,-5.4,20
21,2021-09-16,94700,92300,92600,0.9,16
21,2021-09-17,94600,92700,93400,0.9,15
21,2021-09-18,94700,93600,94700,1.4,12
21,2021-09-19,95500,94700,95000,0.3,28
21,2021-09-20,95500,94100,95500,0.5,19
21,2021-09-21,97000,94300,96400,0.9,55
21,2021-09-22,98400,94400,95000,-1.5,24
21,2021-09-23,98200,94500,95900,0.9,15
21,2021-09-24,98000,94600,97500,1.7,11
21,2021-09-25,98300,96500,96500,-1.0,24
21,2021-09-26,99400,96700,99400,3.0,25
21,2021-09-27,100700,96700,99900,0.5,77
21,2021-09-28,101000,98500,98500,-1.4,60
21,2021-09-29,100100,98000,100100,1.6,46
21,2021-09-30,99000,96000,96400,-3.7,20
21,2021-10-01,98900,95200,96500,0.1,45
21,2021-10-02,98200,95000,95700,-0.8,12
21,2021-10-03,99100,97500,99100,3.6,14
21,2021-10-04,98700,95700,95700,-3.4,13
21,2021-10-05,97900,94300,94300,-1.5,31
21,2021-10-06,98100,94300,97900,3.8,43
21,2021-10-07,98000,96000,96000,-1.9,9
21,2021-10-08,98000,94500,96000,0.0,9
21,2021-10-09,96400,95000,95000,-1.0,8
21,2021-10-10,96300,94300,96100,1.2,42
21,2021-10-11,96200,94600,95000,-1.1,21
21,2021-10-12,96200,94600,96100,1.2,37
21,2021-10-13,96600,94500,94500,-1.7,22
21,2021-10-14,96400,94000,94000,-0.5,35
21,2021-10-15,97000,94100,97000,3.2,27
21,2021-10-16,98000,94900,98000,1.0,25
21,2021-10-17,98600,97500,97500,-0.5,6
21,2021-10-18,98400,95200,95200,-2.4,6
21,2021-10-19,99900,95300,99900,4.9,35
